#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-5626	Ornithine transcarbamoylase complex, argFFI variant	-	83333	CHEBI:29105(3)|P04391(1)|P06960(2)	ECO:0005546(biological system reconstruction evidence based on paralogy evidence used in manual assertion)	-	GO:0004585(ornithine carbamoyltransferase activity)|GO:0009348(ornithine carbamoyltransferase complex)|GO:0042450(arginine biosynthetic process via ornithine)|GO:0019240(citrulline biosynthetic process)	complex portal:CPX-5626(complex-primary)|complex portal:CPX-5624(inferred-from)|intenz:2.1.3.3(identity)|rhea:RHEA:19513(identity)	Catalyzes the first reaction in the urea cycle, in which l-ornithine is carbamoylated via transfer of the carbamoyl group from carbamoyl phosphate (CP) to form citrulline. Required for arginine biosynthesis.	Trimeric structure with the active sites located at the interface between the protein monomers. The trimer appears to be the smallest structural element that is stable, has enzyme activity and can build more complex enzyme assemblies. OTCase has a compulsory ordered mechanism with CP the first substrate to bind and phosphate the last product released. Zinc is an allosteric regulator of the substrate-bound enzyme and a competitive inhibitor of the free enzyme. Zinc-induced ornithine co-operativity is potentially caused by direct competition between L-ornithine and zinc for the same site. Some Enterobacteriaceae have two structural genes (argF and argI) for ornithine carbamoyltransferase. The two gene products interact to form a family of four functional isoenzymes, respectively designated FFF (CPX-5627), FFI (CPX-5626), FII (CPX-2625), and III (CPX-5624). 	Heterotrimer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P04391(1)|P06960(2)
CPX-5627	Ornithine transcarbamoylase complex, argFFF variant	-	83333	CHEBI:29105(3)|P06960(3)	ECO:0005546(biological system reconstruction evidence based on paralogy evidence used in manual assertion)	-	GO:0004585(ornithine carbamoyltransferase activity)|GO:0009348(ornithine carbamoyltransferase complex)|GO:0042450(arginine biosynthetic process via ornithine)|GO:0019240(citrulline biosynthetic process)	complex portal:CPX-5624(inferred-from)|complex portal:CPX-5627(complex-primary)|intenz:2.1.3.3(identity)|rhea:RHEA:19513(identity)	Catalyzes the first reaction in the urea cycle, in which l-ornithine is carbamoylated via transfer of the carbamoyl group from carbamoyl phosphate (CP) to form citrulline. Required for arginine biosynthesis.	Trimeric structure with the active sites located at the interface between the protein monomers. The trimer appears to be the smallest structural element that is stable, has enzyme activity and can build more complex enzyme assemblies. OTCase has a compulsory ordered mechanism with CP the first substrate to bind and phosphate the last product released. Zinc is an allosteric regulator of the substrate-bound enzyme and a competitive inhibitor of the free enzyme. Zinc-induced ornithine co-operativity is potentially caused by direct competition between L-ornithine and zinc for the same site. Some Enterobacteriaceae have two structural genes (argF and argI) for ornithine carbamoyltransferase. The two gene products interact to form a family of four functional isoenzymes, respectively designated FFF (CPX-5627), FFI (CPX-5626), FII (CPX-2625), and III (CPX-5624). 	Homotrimer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P06960(3)
CPX-5628	Type I restriction-modification EcoKI complex	-	83333	P05719(1)|P08956(2)|P08957(2)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0009035(type I site-specific deoxyribonuclease activity)|GO:0009307(DNA restriction-modification system)|GO:0019812(type I site-specific deoxyribonuclease complex)|GO:0043565(sequence-specific DNA binding)|GO:0009007(site-specific DNA-methyltransferase (adenine-specific) activity)|GO:1904047(S-adenosyl-L-methionine binding)|GO:0005524(ATP binding)	complex portal:CPX-5628(complex-primary)|intenz:3.1.21.3(identity)|intenz:2.1.1.72(identity)|rhea:RHEA:15197(identity)|wwpdb:2y7h(subset)|emdb:EMD-1534(subset)|pubmed:24068554(see-also)	Defense mechanisms against foreign DNA introduced by an infectious agent (such as a bacteriophage). Comprises of two enzymatic activities: a restriction endonuclease (REase) and a methyltransferase (MTase). The REase recognizes and cleaves foreign DNA sequences at specific sites, cleaving endonucleolytically at phosphodiester bonds to generate 5′ or 3′ overhangs or blunt ends while the MTase activity ensures discrimination between self and non-self DNA, by transferring methyl groups to the same specific DNA sequence within the host's genome. The complex binds to a bipartite, asymmetric DNA sequence, 5'-AACN6GTGC-3', the MTase transfers the methyl group from S-adenosyl methionine to the C-5 carbon or the N4 amino group of cytosine or to the N6 amino group of adenine on newly replicated, hemimethylated host DNA and switches to an endonuclease activity on unmethylated foreign DNA, cleaving from approximately 100 base pairs to tens of thousands of base pairs away from the target. The latter reaction requires massive ATP hydrolysis to drive translocation of up to 50 kb of DNA at rates of up to 1 kb per second. The DNA is then cleaved at a random sequence remote from the original specificity sequence, with the generation of variable length single-strand overhangs Type-I DNA restriction-modification (R/M) systems are important agents in limiting the transmission of mobile genetic elements responsible for spreading bacterial resistance to antibiotics. 	Molecular weight approximately 440 kDa. The M and S subunits together form a labile methyltransferase that methylates two adenine residues in complementary strands of the bipartite DNA recognition sequence which is stabilized by the binding of the restriction endonuclease proteins.	Heteropentamer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P05719(1)|P08956(2)|P08957(2)
CPX-5629	Sulfite reductase [NADPH] complex	NADPH-sulfite reductase complex	83333	CHEBI:49883(4)|CHEBI:57692(8)|CHEBI:58210(8)|CHEBI:60052(4)|P17846(4)|P38038(8)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-15773858	GO:0004783(sulfite reductase (NADPH) activity)|GO:0009337(sulfite reductase complex (NADPH))|GO:0019344(cysteine biosynthetic process)|GO:0000103(sulfate assimilation)	intenz:1.8.1.2(identity)|rhea:RHEA:13801(identity)|complex portal:CPX-5629(complex-primary)|pubmed:26088143(see-also)	Catalyzes the 6-electron reduction of sulfite to sulfide, a key step in the biosynthesis of cysteine.	Molecular weight = approximately 800 kDA. Active cysJ molecules appear to be highly dynamic, held in contact with the other cysJs through their N-terminal octomerization domains but free to associate/disassocaite with cysI as NADPH/NAD+ cycle on and off the protein, passing electrons two at a time to the FAD and FMN cofactors 	Heterododecamer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P17846(4)|P38038(8)
CPX-5674	Transcription elongation complex	-	83333	CHEBI:18420(1)|CHEBI:29105(2)|P0A780(1)|P0A7R5(1)|P0A7Z4(2)|P0A800(1)|P0A8T7(1)|P0A8V2(1)|P0AFF6(1)|P0AFG0(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0003677(DNA binding)|GO:0003899(DNA-directed 5'-3' RNA polymerase activity)|GO:0008023(transcription elongation factor complex)|GO:0032784(regulation of DNA-templated transcription, elongation)|GO:0019843(rRNA binding)|GO:0003723(RNA binding)	pubmed:26132790(see-also)|complex portal:CPX-5674(complex-primary)|wwpdb:3d3c(subset)|intenz:2.7.7.6(identity)|rhea:RHEA:21248(identity)|wwpdb:2KVQ(subset)|wwpdb:6FLQ(subset)|wwpdb:3d3b(subset)|wwpdb:3IMQ(subset)|wwpdb:6C6U(subset)|pubmed:29887376(see-also)|emdb:EMD-7351(subset)|emdb:EMD-4275(subset)	RNA polymerase (RNAP)-containing complex that suppresses transcription termination and accelerates the rate of transcription elongation and folding of ribosomal RNA. During elongation, the sigma factor is replaced by nupA and nupG binding to RNAP and enhances RNAP pausing at specific sites. nusA also binds to rRNA just downstream to the single stranded BOXA motif. nusB appears to enhance nusE binding to BOXA RNA and the RNA polymerase complex. NusG increases the RNA chain elongation rate.	The RNAP holoenzyme structure resembles a crab claw with two pincers that generating a cleft for template DNA entry into the enzyme active site, located at the bottom of the cleft. The rpoC subunit forms one pincer, the "clamp", and the rpoB subunit forms the other pincer. The clamp changes its position by moving between open and closed states. The formation of the rpoA dimer is the first step in RNAP biogenesis and it acts as a scaffold for assembling the two largest subunits rpoB and rpoC. One of the rpoA subunits binds only to the rpoB subunit while the second rpoA subunit largely contacts the rpoC subunit but also makes minor contacts with the rpoB subunit. The enzyme active site is formed by two double-psi beta-barrel domains, one from each of the rpoB and rpoC subunits. The NusABEG sub-complex is held together by relatively weak protein-protein and protein-RNA interactions and assembles in a highly cooperative manner. The N-terminal domains of nusA and nusG anchor this to RNAP. The nusA and nusB are linked via binding to the adjacent RNA sequences in the upstream regions of rRNA genes. nusE simultaneously binds to nusB and nusG, blocking the Rho transcription termination factor (P0AG30) binding site on the nusG C-terminal domain and thereby inhibiting Rho-mediated termination.	Heterononamer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0A780(1)|P0A7R5(1)|P0A7Z4(2)|P0A800(1)|P0A8T7(1)|P0A8V2(1)|P0AFF6(1)|P0AFG0(1)
CPX-5681	Enoyl CoA hydratase/isomerase complex	PaaF-PaaG hydratase-isomerase complex	83333	P76082(6)|P77467(6)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-25475134	GO:0004300(enoyl-CoA hydratase activity)|GO:0010124(phenylacetate catabolic process)|GO:1902494(catalytic complex)|GO:0016853(isomerase activity)	wwpdb:4FZW(identity)|complex portal:CPX-5681(complex-primary)|intenz:5.3.3.18(identity)|rhea:RHEA:31843(identity)|intenz:4.2.1.17(identity)|rhea:RHEA:16105(identity)|rhea:RHEA:20724(identity)	Catalyzes consecutive steps along the phenylacetate degradation pathway: the unusual rearrangement of the 2-oxepin-2(3H)-ylideneacetyl-CoA (oxepin-CoA) to the alpha,beta-unsaturated thioester 2,3-dehydroadipyl-CoA and the reversible conversion of 2,3-dehydroadipyl-CoA into 3-hydroxyadipyl-CoA. The PA utilization pathway is the main mechanism for degradation of a variety of organic compounds. 	The complex has a four-layered structure composed of homotrimeric discs of paaF and paaG with two paaF discs in the center sandwiched between paaG discs on each end 	Heterododecamer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P76082(6)|P77467(6)
CPX-5718	Elongasome complex	Rod complex|Longitudinal peptidoglycan synthesis complex	83333	P02918(0)|P0A9X4(0)|P0ABG7(0)|P0ABH4(0)|P0AD65(0)|P16926(0)|P27434(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0031226(intrinsic component of plasma membrane)|GO:0009252(peptidoglycan biosynthetic process)|GO:0008360(regulation of cell shape)|GO:0009002(serine-type D-Ala-D-Ala carboxypeptidase activity)|GO:0008955(peptidoglycan glycosyltransferase activity)	pubmed:31915748(see-also)|intenz:2.4.1.129(identity)|complex portal:CPX-5718(complex-primary)|intenz:3.4.16.4(identity)|rhea:RHEA:23708(identity)	Mediates the process of cell elongation and the maintenance of rod-shaped cell morphology by orchestrating the synthesis and insertion of peptidoglycan into the cylindrical part of the cell wall.	MreB polymerizes into short filaments that rotate around the cylindrical part of the cell which are believed to drive the topography of the insertion of peptidoglycan into the lateral wall	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P02918(0)|P0A9X4(0)|P0ABG7(0)|P0ABH4(0)|P0AD65(0)|P16926(0)|P27434(0)
CPX-5745	pspAF transcription regulation complex	-	83333	P0AFM6(6)|P37344(6)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-25567762	GO:0016887(ATPase activity)|GO:0006355(regulation of transcription, DNA-templated)|GO:0003700(DNA-binding transcription factor activity)|GO:0080135(regulation of cellular response to stress)|GO:0005667(transcription regulator complex)	complex portal:CPX-5745(complex-primary)|pubmed:29906279(see-also)|pubmed:27297125(see-also)	Transcription regulator, formation of which in the absence of membrane stress inhibits the ATPase activity of the enhancer binding and activator protein pspF. ATPase activity of pspF is required to induce an open complex formation of the DNA‐bound RNA polymerase at its target promoters. The pspAF complex retains only a basal ATPase activity. Membrane stresses, such as the mislocalisation of proteins to the inner membrane, appear to lead to the recruitment of pspA to the pspBC complex (CPX-5892), enabling at least a partial release of pspA from pspF. This allows transcription of the Psp membrane-stabilizing system through binding of pspF to the sigma factor rpoN (P24255). 	pspA binds to the pspF hexamer and inhibits pspF activity by direct interaction of the AAA+ transcription activation domain of pspF. pspA appears to bind to Trp-56 of pspF. This is part of the 50-62 aa loop which contains a group of three amino acids, called the YLW patch, that serve as a docking site for pspA and for ATP hydrolytic activity. The C-terminal domain of pspA appears to be crucial for the regulation of pspF in response to membrane stress stimuli. 	Heterododecamer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0AFM6(6)|P37344(6)
CPX-5747	entAE 2,3-dihydroxybenzoate-AMP ligase complex	-	83333	P10378(4)|P15047(4)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-25570157	GO:0008668((2,3-dihydroxybenzoyl)adenylate synthase activity)|GO:0005524(ATP binding)|GO:0009239(enterobactin biosynthetic process)	complex portal:CPX-5747(complex-primary)|intenz:2.7.7.58(identity)|rhea:RHEA:20229(identity)|pubmed:21166461(see-also)	Required for a step in the synthesis of enterobactin (CHEBI:28855), a catecholate-type siderophore. Complex formation optimises the activation of the carboxylate group of 2,3-dihydroxy-benzoate (CHEBI:36654) by entE, via a reversible ATP-dependent pyrophosphate exchange reactions to yield the acyladenylate intermediate 2,3-dihydroxybenzoyl-AMP. 	-	Heterooctamer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P10378(4)|P15047(4)
CPX-5748	entBE aryl carrier complex	-	83333	CHEBI:18420(0)|CHEBI:47942(2)|CHEBI:57417(0)|P0ADI4(2)|P10378(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-25570386	GO:0009239(enterobactin biosynthetic process)|GO:0000036(acyl carrier activity)	complex portal:CPX-5748(complex-primary)|wwpdb:3rg2(subset)|wwpdb:4iz6(subset)|rhea:RHEA:48604(identity)|pubmed:19699210(see-also)|pubmed:23897471(see-also)|pubmed:22365602(see-also)	Required for a step in the synthesis of enterobactin (CHEBI:28855), a catecholate-type siderophore. entE-2,3-dihydroxy-benzoate (DHB, CHEBI:36654) -AMP binds to dimeric phosphopantetheinylated entB, resulting in the transfer of DHB to the phosphopantetheine group on Ser-245 of entB, resulting in the production of acyl-entB; this is followed by release of AMP from entE and dissociation of entE from the complex	-	Heterotetramer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0ADI4(2)|P10378(2)
CPX-5762	rcsAB DNA-binding transcription factor complex	-	83333	P0DMC7(1)|P0DMC9(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-25590633	GO:0005667(transcription factor complex)|GO:0043565(sequence-specific DNA binding)|GO:0001216(DNA-binding transcription activator activity)|GO:0001217(DNA-binding transcription repressor activity)|GO:0045892(negative regulation of transcription, DNA-templated)|GO:0045893(positive regulation of transcription, DNA-templated)|GO:1901913(regulation of capsule organization)|GO:1902021(regulation of bacterial-type flagellum-dependent cell motility)	complex portal:CPX-5762(complex-primary)|pubmed:26635367(see-also)|pubmed:29897834(see-also)	Transcription factor complex activated by phosphorylation on Asp-56 of rcsB by the Rcs phosphorelay system. Required for expression of the colanic acid capsular polysaccharide operon, binding to the RcsAB box centered at 105 nucleotides upstream of the transcription start site. Also activates the yjb operon involved in exopolysaccharide synthesis, auto-regulates rcsA expression and negatively regulates the flhDC flagellar master regulator.	Binds to DNA as an asymmetric dimer. Phosphorylation enhances rcsB DNA binding affinity and may also facilitate interaction with RNA polymerase and thus activate transcription. 	Heterodimer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0DMC7(1)|P0DMC9(1)
CPX-5763	bglJ-rcsB DNA-binding transcription factor complex	-	83333	P0DMC7(1)|P39404(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-25590608	GO:0005667(transcription factor complex)|GO:0043565(sequence-specific DNA binding)|GO:0045893(positive regulation of transcription, DNA-templated)|GO:0001216(DNA-binding transcription activator activity)|GO:0043470(regulation of carbohydrate catabolic process)	pubmed:29897834(see-also)|pubmed:20952573(see-also)|complex portal:CPX-5763(complex-primary)	Transcription factor complex regulated independently of rcsB phosphorylation status. Activates the expression of the cryptic bgl operon, required for beta-glucoside degradation, by relieving repression by H-NS (P0ACF8). 	Probably binds to DNA as an asymmetric dimer.	Heterodimer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0DMC7(1)|P39404(1)
CPX-5764	matA-rcsB DNA-binding transcription factor complex	ecpR-rcsb complex	83333	P0DMC7(0)|P71301(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-25590641	GO:0005667(transcription factor complex)|GO:1902021(regulation of bacterial-type flagellum-dependent cell motility)|GO:0006355(regulation of transcription, DNA-templated)|GO:0043565(sequence-specific DNA binding)|GO:0003700(DNA-binding transcription factor activity)	pubmed:26635367(see-also)|complex portal:CPX-5764(complex-primary)	Transcription factor complex regulated independently of rcsB phosphorylation status. Probable role in regulating cell motility.	Transcription factor complex regulated independently of rcsB phosphorylation status. 	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0DMC7(0)|P71301(0)
CPX-5765	rcsB DNA-binding transcription factor homodimer	-	83333	P0DMC7(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-25590768	GO:0005667(transcription factor complex)|GO:0043565(sequence-specific DNA binding)|GO:0001216(DNA-binding transcription activator activity)|GO:0045893(positive regulation of transcription, DNA-templated)	pubmed:26635367(see-also)|pubmed:29897834(see-also)|complex portal:CPX-5765(complex-primary)|wwpdb:5I4C(identity)|wwpdb:5VXN(identity)|wwpdb:5w43(identity)|pubmed:29487239(see-also)	Transcription factor complex activated by phosphorylation on Asp-56 of rcsB by the Rcs phosphorelay system. Regulates the expression of rprA, which encoding a small RNA that positively regulates translation of the general stress sigma factor, RpoS (P13445).	Binds to DNA as an asymmetric dimer. Phosphorylation enhances rcsB DNA binding affinity and may also facilitate interaction with RNA polymerase and thus activate transcription. 	Heterodimer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0DMC7(2)
CPX-5780	lambdaN-dependent processive transcription antitermination complex	-	83333	CHEBI:18420(1)|CHEBI:29105(2)|P03045(1)|P0A780(1)|P0A7R5(1)|P0A7Z4(2)|P0A800(1)|P0A8T7(1)|P0A8V2(1)|P0AFF6(1)|P0AFG0(1)	ECO:0000353(physical interaction evidence used in manual assertion)	wwpdb:6gov	GO:0003899(DNA-directed 5'-3' RNA polymerase activity)|GO:0003723(RNA binding)|GO:0032784(regulation of DNA-templated transcription, elongation)|GO:0001073(transcription antitermination factor activity, DNA binding)|GO:0031564(transcription antitermination)|GO:0001072(transcription antitermination factor activity, RNA binding)	pubmed:26132790(see-also)|wwpdb:3d3c(subset)|wwpdb:2KVQ(subset)|wwpdb:6FLQ(subset)|wwpdb:3d3b(subset)|wwpdb:3IMQ(subset)|wwpdb:6C6U(subset)|pubmed:29887376(see-also)|emdb:EMD-7351(subset)|emdb:EMD-4275(subset)|complex portal:CPX-5780(complex-primary)|emdb:EMD-0043(identity)|wwpdb:5ms0(identity)|emdb:EMD-3561(identity)|pubmed:28452979(see-also)	Enables lambdoid phages to switch from immediate-early to delayed-early gene expression during lytic growth, allowing the RNA polymerase (RNAP) enzyme to read through intrinsic and rho-dependent terminators. The lambdaN protein binds and reorganizes RNAP components, and repositions nusA on RNAP, thereby redirecting nascent RNA and sequestering the upstream branch of a terminator hairpin. Formation of this complex may also hinder RNA engagement of termination factor rho (P0AG30) and/or obstruct rho translocation on the transcript.	lambdaN is an intrinsically disordered protein which can act as a multi-protein/RNA interaction hub. lambdaN actis in concert with nut site RNA to arrange nusA, nusB and nusE into a triangular complex. This complex docks via the nusA N-terminal domain and the lambdaN C-terminus next to the RNA exit channel on RNA polymerase.	Heterodecamer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P03045(1)|P0A780(1)|P0A7R5(1)|P0A7Z4(2)|P0A800(1)|P0A8T7(1)|P0A8V2(1)|P0AFF6(1)|P0AFG0(1)
CPX-5781	gadE-rcsB DNA-binding transcription factor complex	ecpR-rcsb complex	83333	P0DMC7(0)|P63204(0)	ECO:0005546(biological system reconstruction evidence based on paralogy evidence used in manual assertion)	-	GO:1990451(cellular stress response to acidic pH)|GO:0005667(transcription factor complex)|GO:0006355(regulation of transcription, DNA-templated)|GO:0043565(sequence-specific DNA binding)|GO:0003700(DNA-binding transcription factor activity)	complex portal:CPX-5762(inferred-from)|pubmed:29897834(see-also)|complex portal:CPX-5781(complex-primary)|pubmed:20189963(see-also)	Transcription factor complex regulated independently of rcsB phosphorylation status. Required for survival in extreme acidic conditions, regulating expression of several genes involved in acid resistance.These include two glutamate decarboxylase isoforms, gadA and gadB, which consume intracellular protons in decarboxylating glutamate. 	Transcription factor complex regulated independently of rcsB phosphorylation status. 	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0DMC7(0)|P63204(0)
CPX-5782	Tol-Pal cell envelope complex	-	83333	P0A855(0)|P0A912(0)|P0ABU9(0)|P0ABV6(0)|P19934(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:1905153(regulation of membrane invagination)|GO:0051301(cell division)|GO:0022885(bacteriocin transmembrane transporter activity)|GO:0016021(integral component of membrane)	complex portal:CPX-5782(complex-primary)|wwpdb:2W8B(subset)|wwpdb:2HQS(subset)|pubmed:17233825(see-also)	Required for the co-ordinated invagination of the envelope layers during cell fission, using proton motive force to establish transient trans-envelope connections at/near the septal ring to draw the outer membrane onto the invaginating proteoglycan and inner membrane layers. Ion potential over the inner membrane is converted by tolQ and R to drive a conformational change in tolA, extending it through meshes of newly split murein to reach for free pal in the outer membrane. On bindng a pal molecule, tolA snaps back, drawing pal inwards, and then disassociates, allowing pal to engage the proteoglycan layer. Also acts to transport colicins classified in group A (colicins A, E1 to E9, K, N, and cloacin DF13) from the outer membrane across the periplasm.	tolQ, tolR and tolA are integral inner-membrane proteins that interact via their transmembrane domains. tolB is a soluble periplasmic protein and pal is anchored to the outer membrane The beta-propeller domain of the periplasmic protein tolB is responsible for its interaction with pal. tolB also interacts with the outer-membrane peptidoglycan-associated proteins lpp (P69776) and ompA.(P0A910).	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0A855(0)|P0A912(0)|P0ABU9(0)|P0ABV6(0)|P19934(0)
CPX-5884	Flagellar motor stator complex	-	83333	P09348(4)|P0AF06(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-25639538	GO:1902600(proton transmembrane transport)|GO:0009288(bacterial-type flagellum)|GO:0120101(bacterial-type flagellum stator complex)|GO:0071973(bacterial-type flagellum-dependent cell motility)|GO:0006935(chemotaxis)	pubmed:4895809(see-also)|pubmed:31337100(see-also)|pubmed:29235079(see-also)|pubmed:26056313(see-also)|complex portal:CPX-5884(complex-primary)	Transmembrane unit of the flagellar motor which conducts protons and exerts force on the rotor. Each core rotor complex (CPX-1082/CPX-1085) is typically surrounded by 10 stator complexes, each of which can independently produce torque for flagellar rotation.	Leu-46 of motB acts as the gate for hydronium ion permeation and appears to mediate the proton transfer to the carboxyl group of Asp-32 of motB. The protonation/deprotonation motB cycle induces a ratchet motion in the stator, which couples to motor rotation. Arg-90 and Glu-98 on the motA cytoplasmic domain interact with the polar residues on the rotor protein, fliG (P0ABZ1), during the rotation of the motor. Torque generation may be due to conformational changes of the motA cytoplasmic domain driven by motB proton association/dissociation.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P09348(4)|P0AF06(2)
CPX-5885	Flagellar export complex	Bacterial flagellar type III Protein Export Apparatus complex	83333	P0AC05(5)|P0AC07(4)|P22586(0)|P31068(12)|P33135(1)|P52612(6)|P52613(1)|P76298(9)|P76299(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0009288(bacterial-type flagellum)|GO:0120102(bacterial-type flagellum secretion apparatus)|GO:0030257(type III protein secretion system complex)|GO:0030254(protein secretion by the type III secretion system)|GO:0071973(bacterial-type flagellum-dependent cell motility)|GO:0006935(chemotaxis)	pubmed:21278755(see-also)|pubmed:26984495(see-also)|pubmed:29967543(see-also)|pubmed:31337100(see-also)|pubmed:29235079(see-also)|complex portal:CPX-5885(complex-primary)|intenz:7.1.2.2(identity)|rhea:RHEA:57720(identity)	A type III protein export apparatus that transports the rod, hook and filament axial component proteins from the cytoplasm to the distal end of the growing flagellar structure. The transmembrane export gate (flhA, flhB, fliP, fliQ and fliR) acts as a proton-protein antiporter to couple an inward-directed proton translocation with an outward-directed protein export. fliH, fliI and fliJ form a cytoplasmic ATPase ring which hydrolyzes ATP to activate the export gate.	fliP, fliQ, and fliR form a pseudo-hexameric, right-handed helical assembly, with a central channel with a diameter of 1.5 nm. The fliP and fliQ components together structurally mimic the fliR subunit. fliO is required for its efficient assembly. flhA forms a nonameric ring structure through its C-terminal cytoplasmic domain creating an ion channel to conduct both H+ and Na+. fliH regulates the fliI oligomerization state of the fliI hexameric ring. This is further promoted by fliJ binding within the center of the ring and this single molecule may rotate within the fliI ring to promote ATP hydrolysis. The ATPase ring is associated with the basal body through interactions of fliH with flhA and a C ring protein fliN.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0AC05(5)|P0AC07(4)|P22586(0)|P31068(12)|P33135(1)|P52612(6)|P52613(1)|P76298(9)|P76299(0)
CPX-5887	Flagellar basal-body rod complex	-	83333	P0A8T5(0)|P0ABW9(6)|P0ABX2(6)|P0ABX5(24)|P75938(6)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0030694(bacterial-type flagellum basal body, rod)|GO:0006935(chemotaxis)|GO:0071973(bacterial-type flagellum-dependent cell motility)|GO:0009288(bacterial-type flagellum)	complex portal:CPX-5887(complex-primary)|pubmed:29235079(see-also)|pubmed:31337100(see-also)	Acts as a drive shaft to transmit torque to the hook which then allows the synchronous rotation of multiple flagellar filaments. The 7nm diameter proximal rod penetrates into the MS-ring formed by fliF (P25798). The distal rod, with a diameter of 13 nm, is surrounded by the lipoprotein L and P rings, formed by lipoprotein flgH (P0A6S0) and periplasmic protein flgI (P0A6S3), respectively. The L and P rings may protect the structure from shearing forces during rotation. 	The proximal rod is composed of fliE, flgB, flgC, flgF and the distal rod protein flgG. fliE appears to connect the most proximal part of the rod, formed by flgB, to the the MS ring.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0A8T5(0)|P0ABW9(6)|P0ABX2(6)|P0ABX5(24)|P75938(6)
CPX-5888	ygaZH putative valine exporter complex	L-valine efflux transporter YgaH/Z complex	83333	P43667(0)|P76630(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0005304(L-valine transmembrane transporter activity)|GO:0034639(L-amino acid efflux transmembrane transporter activity)|GO:1903785(L-valine transmembrane transport)|GO:1902495(transmembrane transporter complex)	complex portal:CPX-5888(complex-primary)	Putative transmembrane exporter of branched chain amino acids, such as L-valine ( 2-amino-3-methylbutanoic acid) .	-	-	L-valine (CHEBI:16414)	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P43667(0)|P76630(0)
CPX-5890	Translocation and assembly module complex	TAM autotransporter assembly complex	83333	P0ADE4(0)|P39321(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-15977321	GO:0005887(integral component of plasma membrane)|GO:0097347(TAM protein secretion complex)|GO:0045203(integral component of cell outer membrane)|GO:0089705(protein localization to outer membrane)	complex portal:CPX-5890(complex-primary)|pubmed:28887826(see-also)	A two-membrane spanning complex required for the proper assembly of a subset of autotransporters, outer membrane proteins which either expose on the cell surface or release into the extracellular space an effector passenger domain which is responsible for an associated virulence function.	tamA forms a 16-stranded beta-barrel with beta-strands 1 and 16 only partially paired and potentially forming a lateral gate. tamB is an elongated protein allowing it to transverse the periplasm. It connects to the inner membrane via an N-terminal signal anchor.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P0ADE4(0)|P39321(0)
